filename,lemma_ttr,lemma_mattr,lexical_density_tokens,lexical_density_types,content_ttr,function_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,trigram_lemma_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_binary_all_sent,adjacent_overlap_2_all_sent,adjacent_overlap_2_all_sent_div_seg,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_cw_sent_div_seg,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_2_cw_sent_div_seg,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent,adjacent_overlap_fw_sent_div_seg,adjacent_overlap_binary_fw_sent,adjacent_overlap_2_fw_sent,adjacent_overlap_2_fw_sent_div_seg,adjacent_overlap_binary_2_fw_sent,adjacent_overlap_noun_sent,adjacent_overlap_noun_sent_div_seg,adjacent_overlap_binary_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_2_noun_sent_div_seg,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adj_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_binary_adj_sent,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_binary_2_adj_sent,adjacent_overlap_adv_sent,adjacent_overlap_adv_sent_div_seg,adjacent_overlap_binary_adv_sent,adjacent_overlap_2_adv_sent,adjacent_overlap_2_adv_sent_div_seg,adjacent_overlap_binary_2_adv_sent,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_2_pronoun_sent_div_seg,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_argument_sent_div_seg,adjacent_overlap_binary_argument_sent,adjacent_overlap_2_argument_sent,adjacent_overlap_2_argument_sent_div_seg,adjacent_overlap_binary_2_argument_sent,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,lda_1_all_sent,lda_2_all_sent,lda_1_all_para,lda_2_all_para,word2vec_1_all_sent,word2vec_2_all_sent,word2vec_1_all_para,word2vec_2_all_para,basic_connectives,conjunctions,disjunctions,lexical_subordinators,coordinating_conjuncts,addition,sentence_linking,order,reason_and_purpose,all_causal,positive_causal,opposition,determiners,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,negative_logical,all_temporal,positive_intentional,all_positive,all_negative,all_connective,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas
17834.txt,0.563829787,0.670666667,0.531914894,0.547169811,0.58,0.590909091,0.590909091,0.5,0.684210526,0,0.571428571,0.461538462,0.472222222,0.870967742,0.956521739,0.227272727,2,0.9,0.41025641,3.555555556,0.888888889,0.234042553,1.1,0.6,0.41025641,1.777777778,0.888888889,0.19047619,0.8,0.6,0.375,1.666666667,0.777777778,0.363636364,0.8,0.6,0.529411765,1,0.666666667,0.111111111,0.2,0.2,0.266666667,0.444444444,0.444444444,0,0,0,0,0,0,0.142857143,0.1,0.1,0.428571429,0.333333333,0.333333333,0.416666667,0.5,0.4,0.416666667,0.555555556,0.444444444,0.393939394,1.3,0.9,0.5,1.555555556,0.888888889,0.8,0.3,0,0,0.978540079,0.990731703,0,0,0.772527293,0.858585307,0,0,0.021276596,0.010638298,0.010638298,0.031914894,0,0.010638298,0.053191489,0,0.031914894,0.031914894,0.042553191,0,0.010638298,0.010638298,0,0.010638298,0.021276596,0.063829787,0.031914894,0,0.021276596,0,0.074468085,0.010638298,0.053191489,0.063829787,0.25,0.308510638,0.35106383
17836.txt,0.572916667,0.73106383,0.489583333,0.581818182,0.680851064,0.489795918,0.489795918,0.705882353,0.611111111,1,0.571428571,0.3,0.538461538,0.915789474,0.978723404,0.362068966,10.5,1,0.40625,13,1,0.24137931,3.5,1,0.25,4,1,0.466666667,7,1,0.529411765,9,1,0.2,1,1,0.285714286,2,1,0.363636364,2,1,0.25,1,1,0,0,0,0,0,0,0.25,0.5,0.5,0.5,1,1,0.5,1,1,0.5,1,1,0.307692308,2,1,0.375,3,1,2.5,3,0,0,0.977730338,0.989237237,0,0,0.804184961,0.667972204,0,0,0.052083333,0.052083333,0,0.010416667,0,0.03125,0.03125,0.020833333,0,0,0,0.020833333,0.0625,0.010416667,0,0.010416667,0.072916667,0.0625,0.020833333,0.020833333,0.03125,0,0.0625,0.020833333,0.072916667,0.010416667,0.058823529,0.260416667,0.260416667
17837.txt,0.49689441,0.718035714,0.48447205,0.6875,0.705128205,0.337349398,0.485882353,0.714285714,0.571428571,1,0.875,0.19047619,0.517857143,0.9375,0.987421384,0.229885057,5,0.5,0.285714286,7.333333333,0.666666667,0.16,2,0.25,0.181818182,2.666666667,0.333333333,0.325,3.25,0.5,0.388888889,4.666666667,0.666666667,0.181818182,1,0.25,0.2,1.333333333,0.333333333,0.210526316,1,0.25,0.25,1.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.5,0.5,0.4,0.666666667,0.666666667,0.214285714,1.5,0.5,0.24,2,0.666666667,1.5,1.25,0,0,0.785801417,0.904511343,0,0,0.717692049,0.791687754,0,0,0.062111801,0.062111801,0,0.02484472,0,0.055900621,0.043478261,0.01863354,0,0,0.01242236,0.00621118,0.068322981,0.00621118,0.00621118,0,0.068322981,0.02484472,0.01863354,0.00621118,0.031055901,0,0.093167702,0.01242236,0.093167702,0,0,0.254658385,0.254658385
17838.txt,0.473451327,0.698418079,0.473451327,0.663551402,0.663551402,0.319327731,0.474285714,0.564102564,0.695652174,1,0.666666667,0.189189189,0.383561644,0.884444444,0.959821429,0.168478261,2.384615385,0.769230769,0.245901639,3.75,0.916666667,0.089108911,0.692307692,0.461538462,0.16,1.333333333,0.666666667,0.255813953,1.692307692,0.769230769,0.337209302,2.416666667,0.916666667,0.162162162,0.461538462,0.461538462,0.222222222,0.666666667,0.583333333,0.046511628,0.153846154,0.153846154,0.162790698,0.583333333,0.416666667,0,0,0,0,0,0,0.071428571,0.076923077,0.076923077,0.071428571,0.083333333,0.083333333,0.391304348,0.692307692,0.538461538,0.47826087,0.916666667,0.666666667,0.263157895,1.153846154,0.692307692,0.321428571,1.5,0.833333333,0.461538462,0.307692308,0,0,0.808764567,0.967152773,0,0,0.760453642,0.862096301,0,0,0.039823009,0.022123894,0.004424779,0.03539823,0.013274336,0.030973451,0.053097345,0.008849558,0.017699115,0.022123894,0.026548673,0.004424779,0.084070796,0.013274336,0,0.013274336,0.026548673,0.048672566,0.03539823,0.004424779,0.039823009,0.017699115,0.088495575,0.013274336,0.061946903,0.039823009,0.230769231,0.238938053,0.278761062
17839.txt,0.425806452,0.652075472,0.483870968,0.621212121,0.546666667,0.3375,0.454193548,0.590909091,0.56,0.666666667,0.5,0.181818182,0.386363636,0.727272727,0.882352941,0.338709677,3.818181818,0.818181818,0.417475728,4.3,0.8,0.261538462,1.545454545,0.727272727,0.339622642,1.8,0.8,0.389830508,2.090909091,0.818181818,0.46,2.3,0.8,0.3,0.545454545,0.454545455,0.375,0.6,0.5,0.217391304,0.454545455,0.363636364,0.352941176,0.6,0.5,0.2,0.090909091,0.090909091,0.2,0.1,0.1,0.235294118,0.363636364,0.272727273,0.266666667,0.4,0.3,0.545454545,0.545454545,0.545454545,0.5,0.5,0.5,0.387096774,1.090909091,0.818181818,0.423076923,1.1,0.8,0.636363636,0.818181818,0,0,0.91556102,0.884303228,0,0,0.808451916,0.889003162,0,0,0.025806452,0.006451613,0.006451613,0.025806452,0.012903226,0.038709677,0.064516129,0.04516129,0,0.012903226,0.038709677,0,0.038709677,0,0,0,0.032258065,0.090322581,0.051612903,0,0.083870968,0,0.122580645,0.006451613,0.077419355,0.025806452,0.181818182,0.341935484,0.35483871
17840.txt,0.413888889,0.694212219,0.572222222,0.724832215,0.524271845,0.279220779,0.469142857,0.387096774,0.630769231,0.866666667,0.606060606,0.155555556,0.306569343,0.846796657,0.960893855,0.190184049,1.771428571,0.742857143,0.2625,2.470588235,0.882352941,0.181818182,1.028571429,0.657142857,0.241025641,1.382352941,0.764705882,0.201550388,0.742857143,0.542857143,0.293650794,1.088235294,0.617647059,0.314606742,0.8,0.571428571,0.397727273,1.029411765,0.647058824,0.109375,0.2,0.171428571,0.109375,0.205882353,0.176470588,0,0,0,0,0,0,0.032258065,0.028571429,0.028571429,0.133333333,0.117647059,0.117647059,0.4,0.342857143,0.342857143,0.517241379,0.441176471,0.441176471,0.338983051,1.142857143,0.628571429,0.431034483,1.470588235,0.764705882,0.828571429,0.257142857,0,0,0.860186257,0.958147472,0,0,0.79143586,0.874677356,0,0,0.052777778,0.047222222,0.005555556,0.013888889,0,0.044444444,0.025,0.005555556,0.008333333,0.008333333,0.013888889,0.016666667,0.047222222,0.008333333,0.005555556,0.002777778,0.055555556,0.047222222,0.011111111,0.013888889,0.019444444,0.002777778,0.063888889,0.019444444,0.077777778,0.097222222,0.376344086,0.355555556,0.444444444
17841.txt,0.432748538,0.661967213,0.485380117,0.675675676,0.602409639,0.306818182,0.404615385,0.65625,0.653846154,0.7,0.5625,0.185185185,0.438596491,0.870588235,0.964497041,0.328571429,4.6,1,0.461538462,6.666666667,1,0.146666667,1.1,0.7,0.260869565,2,0.888888889,0.484848485,3.2,0.9,0.629032258,4.333333333,0.888888889,0.172413793,0.5,0.3,0.25,0.777777778,0.555555556,0.083333333,0.2,0.2,0.285714286,0.666666667,0.444444444,0.111111111,0.1,0.1,0.222222222,0.222222222,0.222222222,0.2,0.3,0.3,0.230769231,0.333333333,0.333333333,0.736842105,1.4,0.8,0.764705882,1.444444444,0.777777778,0.391304348,1.8,1,0.441860465,2.111111111,1,0.5,0.6,0,0,0.935220555,0.978613907,0,0,0.761471822,0.809452443,0,0,0.058479532,0.046783626,0,0.011695906,0.011695906,0.035087719,0.040935673,0,0.005847953,0.011695906,0,0.023391813,0.064327485,0.011695906,0,0.011695906,0.052631579,0.035087719,0.005847953,0.011695906,0.029239766,0.005847953,0.070175439,0.011695906,0.046783626,0.087719298,0.46875,0.32748538,0.415204678
17842.txt,0.5546875,0.706582278,0.4375,0.563380282,0.714285714,0.444444444,0.536521739,0.692307692,0.631578947,1,0.833333333,0.217391304,0.446808511,0.929133858,1,0.2,3.166666667,1,0.294871795,4.6,1,0.069767442,0.5,0.333333333,0.111111111,0.8,0.4,0.283018868,2.5,1,0.395348837,3.4,1,0.105263158,0.333333333,0.333333333,0.133333333,0.4,0.4,0.066666667,0.166666667,0.166666667,0.153846154,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.5,1,0.75,1.8,1,0.34375,1.833333333,1,0.44,2.2,1,0.5,0.166666667,0,0,0.930215518,0.997406524,0,0,0.679733667,0.822406345,0,0,0.0234375,0.0234375,0,0.03125,0,0.0234375,0.046875,0.015625,0.015625,0.03125,0.046875,0,0.0859375,0.015625,0,0.015625,0.03125,0.0390625,0.03125,0,0.0390625,0.0234375,0.109375,0,0.0703125,0.078125,0.384615385,0.21875,0.28125
17843.txt,0.295890411,0.608417722,0.443835616,0.657407407,0.438271605,0.197044335,0.413116883,0.386666667,0.468085106,0.785714286,0.464285714,0.134328358,0.264705882,0.703296703,0.887052342,0.310344828,4.285714286,0.952380952,0.460431655,6.4,1,0.234042553,1.571428571,0.80952381,0.323529412,2.2,0.9,0.344370861,2.476190476,0.952380952,0.5625,4.05,1,0.365079365,1.095238095,0.80952381,0.433333333,1.3,0.9,0.095238095,0.19047619,0.142857143,0.125,0.25,0.15,0,0,0,0.142857143,0.1,0.1,0.2,0.238095238,0.19047619,0.36,0.45,0.3,0.487179487,0.904761905,0.80952381,0.684210526,1.3,1,0.416666667,1.904761905,0.857142857,0.532608696,2.45,1,1.428571429,0.476190476,0,0,0.953894133,0.992047509,0,0,0.858448,0.917623893,0,0,0.068493151,0.04109589,0.005479452,0.016438356,0.021917808,0.043835616,0.032876712,0.008219178,0.005479452,0.021917808,0.008219178,0.008219178,0.052054795,0.019178082,0.002739726,0.016438356,0.057534247,0.057534247,0.019178082,0.008219178,0.021917808,0.01369863,0.084931507,0.016438356,0.060273973,0.04109589,0.2,0.328767123,0.361643836
17844.txt,0.522222222,0.632195122,0.466666667,0.638297872,0.714285714,0.375,0.375,0.588235294,0.727272727,0.888888889,1,0.272727273,0.464285714,0.876404494,0.977272727,0.297297297,2.75,1,0.383333333,3.285714286,1,0.135135135,0.625,0.625,0.166666667,0.714285714,0.571428571,0.461538462,2.25,1,0.59375,2.714285714,1,0.066666667,0.125,0.125,0.272727273,0.428571429,0.428571429,0.1,0.125,0.125,0.125,0.142857143,0.142857143,0,0,0,0.125,0.142857143,0.142857143,0,0,0,0,0,0,0.444444444,0.5,0.5,0.625,0.714285714,0.714285714,0.208333333,0.625,0.625,0.421052632,1.142857143,0.857142857,0.125,0.125,0,0,0.945005226,0.992156888,0,0,0.825178837,0.870002442,0,0,0.033333333,0.033333333,0,0.011111111,0,0.022222222,0.055555556,0,0,0,0.011111111,0.033333333,0.055555556,0,0,0,0.055555556,0.077777778,0.022222222,0.033333333,0.011111111,0,0.044444444,0.033333333,0.066666667,0.022222222,0.117647059,0.211111111,0.233333333
