filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,simple_ttr_fw,root_ttr_aw,root_ttr_cw,root_ttr_fw,log_ttr_aw,log_ttr_cw,log_ttr_fw,maas_ttr_aw,maas_ttr_cw,maas_ttr_fw,mattr50_aw,mattr50_cw,mattr50_fw,msttr50_aw,msttr50_cw,msttr50_fw,hdd42_aw,hdd42_cw,hdd42_fw,mtld_original_aw,mtld_original_cw,mtld_original_fw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_bi_fw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,mtld_ma_wrap_fw
17834.txt,78,50,37,23,41,27,0.46,0.474358974,0.641025641,0.621621622,0.658536585,5.661385171,3.781176708,4.216691571,0.897930792,0.868337163,0.887511217,0.053945087,0.083957845,0.069748207,0.724827586,0.621621622,0.658536585,0.74,0.621621622,0.658536585,0.759300314,0,0,39.38877688,19.11373591,20.81433035,41.63215103,15.68627451,23.46875,40.24358974,17.2972973,27.56097561
17836.txt,85,47,33,22,52,25,0.468085106,0.388235294,0.552941176,0.666666667,0.480769231,5.097865759,3.829708431,3.466876226,0.866632868,0.884037114,0.814648767,0.069122952,0.076366033,0.108013328,0.687777778,0.666666667,0.5,0.68,0.666666667,0.5,0.70076529,0,0.529794995,38.33877285,28.1183432,17.35632184,38.32338057,18.02777778,17.29172932,40.51764706,24.45454545,17.94230769
17837.txt,143,75,62,44,81,31,0.586666667,0.433566434,0.524475524,0.709677419,0.382716049,6.271815075,5.588005588,3.444444444,0.869962377,0.916904874,0.781437464,0.060332876,0.046359915,0.114521484,0.723617021,0.715384615,0.50875,0.71,0.7,0.52,0.744337461,0.792860621,0.513412766,45.82683124,54.65402844,16.2,46.30655785,32.60128205,15.69953052,46.12587413,49.56451613,15.32098765
17838.txt,213,105,85,58,128,47,0.552380952,0.399061033,0.492957746,0.682352941,0.3671875,7.194481453,6.290983277,4.154252339,0.868066915,0.913968434,0.793512693,0.056663048,0.044589366,0.097990855,0.715487805,0.741666667,0.550632911,0.74,0.72,0.54,0.777563245,0.788596078,0.597619872,49.62590744,50.06375237,17.56918943,46.91942776,31.25769231,17.47237707,47,51.09411765,17.9375
17839.txt,148,62,51,28,97,34,0.451612903,0.344594595,0.418918919,0.549019608,0.350515464,5.096368606,3.920784235,3.452176961,0.825887347,0.847495495,0.770837883,0.08022657,0.089310827,0.115343959,0.64989899,0.54,0.532083333,0.68,0.54,0.5,0.687060319,0.591731416,0.534824063,31.37023644,22.90853659,18.3141791,32.11514898,16.95833333,18.20563035,33.10135135,18.66666667,18.83505155
17840.txt,296,140,129,78,167,62,0.557142857,0.435810811,0.472972973,0.604651163,0.371257485,8.137334712,6.867517069,4.797704042,0.868423596,0.896476749,0.806396908,0.053241956,0.049049443,0.087102019,0.707854251,0.6805,0.571694915,0.716,0.71,0.58,0.772909852,0.756950789,0.621540679,44.29238423,36.23969072,18.69368624,38.7834267,28.3964163,16.83375,42.15202703,37.37984496,17.74251497
17841.txt,161,75,52,37,109,38,0.493333333,0.322981366,0.465838509,0.711538462,0.348623853,5.910828047,5.130976815,3.639739884,0.849664345,0.913868688,0.775381884,0.068123025,0.050192975,0.110245997,0.672321429,0.713333333,0.503,0.68,0.72,0.5,0.730687147,0.755163604,0.560120695,43.82359813,46.39655172,20.06407407,38.13357306,25.26,19.73568137,38.85714286,36.82692308,19.66055046
17842.txt,112,62,37,28,75,34,0.451612903,0.330357143,0.553571429,0.756756757,0.453333333,5.858449332,4.603171645,3.92598183,0.874671055,0.922813697,0.816762069,0.0611594,0.049219626,0.097723704,0.688253968,0.756756757,0.545384615,0.67,0.756756757,0.46,0.717794123,0,0.556590836,27.98439242,42.59111111,17.32954545,33.9027361,17.8125,18.59135472,34.88392857,33.48648649,17.57333333
17843.txt,332,103,123,53,209,50,0.514563107,0.370481928,0.310240964,0.430894309,0.23923445,5.652859389,4.778849064,3.458572319,0.798384364,0.825049836,0.732268484,0.079970089,0.083712013,0.115394239,0.609893993,0.553513514,0.45025,0.606666667,0.54,0.445,0.681407398,0.633585801,0.523526218,26.88951311,20.74117647,13.93333333,27.83214026,16.7485119,14.53005155,27.73493976,16.91869919,14.59808612
17844.txt,85,43,33,22,52,21,0.511627907,0.388235294,0.505882353,0.666666667,0.403846154,4.664004843,3.829708431,2.91217603,0.846611606,0.884037114,0.770522563,0.079499787,0.076366033,0.133727849,0.613333333,0.666666667,0.42,0.58,0.666666667,0.42,0.637737689,0,0.4459953,28.64522982,28.3125,13,24.7523511,24.77272727,11.8007623,25.72941176,23.96969697,11.82692308
