filename,np_elaboration,verb_vac_frequency,nouns_as_modifiers,determiners,vac_frequency,association_strength,diversity_and_frequency,possessives,frequency
17834.txt,-7.602966888,-3.14853001,-2.154719227,-4.549359159,-0.198961328,-0.288970206,1.993157911,-0.764110741,0.56328833
17836.txt,2.935707951,0.290605489,-0.499978916,-1.094625468,0.947892364,-1.71195408,-0.100652977,-0.028220103,-0.408775416
17837.txt,4.295201745,0.047598882,3.676972381,3.316469477,-1.166325014,0.836728216,1.037299177,-1.392961963,0.81155515
17838.txt,-0.088185045,-2.526793492,-2.878788084,2.218304121,-2.45447721,0.780389738,1.302616359,0.020501735,-0.792028314
17839.txt,0.42981856,-1.121183313,-2.608364088,2.801138837,-2.646813478,-0.342582746,-0.782240893,0.746048288,-0.0086695
17840.txt,-3.086973606,-5.268424464,0.185727448,-1.879778789,-0.548668773,2.006014713,-0.663520146,5.19696535,-0.144941085
17841.txt,1.741950741,2.861482906,1.878749971,1.609527491,-0.681011569,-0.188597619,1.425013078,-0.550040315,-0.066041782
17842.txt,1.03651216,2.915449118,0.065790555,0.578787183,-1.296995213,-1.263503485,-0.848259725,-0.972408029,-0.29756832
17843.txt,-1.266321731,5.801777391,-0.057521033,-2.814854291,0.44221151,1.30499963,-4.788944475,-0.333949273,2.006010331
17844.txt,-5.413995866,10.88609388,-5.123739868,-1.411966614,-3.687987912,-3.555857137,-2.359225946,-3.148608745,1.206621237
17845.txt,-4.834800078,-2.933632142,-1.962620953,-0.490045023,-4.358191552,1.602713531,0.436710872,-1.235626393,0.64842382
17846.txt,7.711505984,-6.849585873,1.614428505,-0.32291876,-3.417265109,-1.016779427,4.065600164,1.947717149,-0.515283577
17847.txt,9.089975102,3.759933127,3.669918917,2.984627004,0.442110061,-2.643421001,-0.788861008,-1.588426339,0.60403389
17849.txt,0.674731653,-0.64281367,-0.755388881,2.829498191,-0.873069945,-0.025733333,2.300112037,0.725691551,-1.698510767
17850.txt,10.14169169,0.794324124,3.470358058,2.017173656,1.128419933,-0.651190876,0.985251902,-1.748559107,-1.977584075
17851.txt,-4.02217593,1.432948191,-0.233549041,-0.572739286,0.556648936,-0.513814757,0.458630411,-0.390366185,0.740877525
17852.txt,-0.40020826,-1.379979048,0.991994032,2.44565875,0.759921922,0.470524229,-1.541138898,-1.327577949,-0.456187785
17853.txt,23.46225499,-10.45103206,1.510928381,3.631043682,-1.073792566,0.166706461,1.760921775,-3.148608745,0.231362967
