"filename","error_count","grammar","misspelling","A_INFINITVE","BEEN_PART_AGREEMENT","CONFUSION_OF_OUR_OUT","EN_A_VS_AN","EN_CONTRACTION_SPELLING","NON3PRS_VERB","NOW","SENTENCE_FRAGMENT","SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA"
"289.txt",0.451612903225806,0.285714285714286,0.0638297872340425,0,0,0,0,0,0,0,0,0
"262.txt",0.129032258064516,0.142857142857143,0.106382978723404,0,0,0,0,0,0,0,0,0
"276.txt",0.0161290322580645,0,0.0212765957446809,0,0,0,0,0,0,0,0,0
"29.txt",0.0483870967741935,0.142857142857143,0,0,0,0,0,0,0,0,0,0.5
"15.txt",0.0967741935483871,0,0.106382978723404,0,0,0,0,0,0,0,0,0
"114.txt",0.112903225806452,0,0.127659574468085,0,0,0,0,0,0,0,0,0
"100.txt",0.290322580645161,0.142857142857143,0.276595744680851,0,0,0,0,1,0,0,0,0
"128.txt",0.209677419354839,0.142857142857143,0.106382978723404,0,0,0,0,0,0,0,0,0
"129.txt",0.161290322580645,0,0.170212765957447,0,0,0,0,0,0,0,0,0
"101.txt",0.129032258064516,0,0.0851063829787234,0,0,0,0,0,0,0,0,0
"115.txt",0.145161290322581,0.142857142857143,0.148936170212766,0,0,0,0,0,0,0,0,0
"14.txt",0.225806451612903,0,0.148936170212766,0,0,0,0,0,0,0,0,0
"28.txt",0.032258064516129,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"277.txt",0.129032258064516,0.142857142857143,0.148936170212766,0,0,0,0,0,0,0,0,0
"263.txt",0.887096774193548,0.285714285714286,0.617021276595745,0,0,0,0,0,0,0,0,0
"288.txt",0.129032258064516,0.142857142857143,0.148936170212766,0,0,0,0,0,0,0,0,0
"275.txt",0.32258064516129,0,0.0212765957446809,0,0,0,0,0,0,0,0,0
"261.txt",0.0645161290322581,0,0.0638297872340425,0,0,0,0,1,0,0,0,0.5
"249.txt",0.548387096774194,0,0.0851063829787234,0,0,0,0,0,0,0,0,0
"16.txt",0,0,0,0,0,0,0,0,0,0,0,0
"103.txt",0.387096774193548,0.285714285714286,0.425531914893617,0,0.5,0,0.333333333333333,0,0,0,0,0
"117.txt",0.290322580645161,0.571428571428571,0.0425531914893617,0,0,0,0,0,0,0,0,0
"116.txt",0.17741935483871,0.142857142857143,0.212765957446809,0,0,0,0,0,0,0,0,0
"102.txt",0.112903225806452,0.142857142857143,0.106382978723404,0,0,0,0.333333333333333,0,0,0,0,0.5
"17.txt",0.0161290322580645,0,0.0212765957446809,0,0,0,0,0,0,0,0,0
"248.txt",0.129032258064516,0.285714285714286,0.0425531914893617,0,0,0,0,0,0,0,0,0
"260.txt",0.032258064516129,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"274.txt",0.225806451612903,0.285714285714286,0.25531914893617,0,0,0,0.333333333333333,0,0,0,0,0
"258.txt",0.387096774193548,0,0.127659574468085,0,0,0,0.333333333333333,0,0,0,0,0
"270.txt",0.129032258064516,0,0.170212765957447,0,0,0,0,0,0,0,0,0
"264.txt",0.290322580645161,0.142857142857143,0.0425531914893617,0,0,0,0,0,0,0,0,0
"13.txt",0.0806451612903226,0.142857142857143,0.0851063829787234,0,0,0,0,0,0,0,0.5,0
"106.txt",0.0483870967741935,0.142857142857143,0.0425531914893617,0,0,0,0,0,0,0,0,0
"112.txt",0.274193548387097,0.428571428571429,0.297872340425532,0,0,0,0,0,1,0,0,0
"113.txt",0.387096774193548,0.571428571428571,0.127659574468085,0,0,0,0,0,0,0,0,0
"107.txt",0.193548387096774,0.142857142857143,0.212765957446809,0,0,0,0,0,0,0,0,0
"12.txt",0.403225806451613,0,0.0638297872340425,0,0,0,0,0,0,0,0,0
"265.txt",0.112903225806452,0.142857142857143,0.127659574468085,0,0,0,0,0,0,0,0.5,0
"271.txt",0.129032258064516,0.142857142857143,0.127659574468085,0,0,0,0.333333333333333,0,0,0,0,0
"259.txt",0,0,0,0,0,0,0,0,0,0,0,0
"267.txt",0.0161290322580645,0,0.0212765957446809,0,0,0,0,0,0,0,0,0
"273.txt",0.306451612903226,0.428571428571429,0.127659574468085,0,0,0,0,1,0.5,0,0,0
"10.txt",0.258064516129032,0,0.25531914893617,0,0,0,0,1,0,0,0,0
"38.txt",0.0967741935483871,0,0,0,0,0,0,0,0,0,0,0
"139.txt",0.032258064516129,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"111.txt",0.274193548387097,0,0.25531914893617,0,0,0,0.333333333333333,0,0,0,0,0
"105.txt",0.129032258064516,0,0.170212765957447,0,0,0,0,0,0,0,0,0
"104.txt",0.0967741935483871,0.285714285714286,0.0851063829787234,0,0,0,0,0,0,0,0,0
"110.txt",0.17741935483871,0.571428571428571,0.148936170212766,1,0,0,0,0,0.5,0,1,0
"138.txt",0.129032258064516,0.142857142857143,0.148936170212766,0,0,0,0.333333333333333,0,0,0,0,0
"39.txt",0.129032258064516,0.142857142857143,0.0851063829787234,0,0,0,0,0,0,0,0,0
"11.txt",0.032258064516129,0.142857142857143,0.0212765957446809,0,0,0,0,0,0,0,0.5,0
"272.txt",0.225806451612903,0,0.0638297872340425,0,0,0,0,0,0,0,0,0
"201.txt",0,0,0,0,0,0,0,0,0,0,0,0
"215.txt",0.032258064516129,0.142857142857143,0.0212765957446809,0,0,0,0,0,0,0,0,0
"229.txt",0.32258064516129,0.285714285714286,0.106382978723404,0,0,0,0,0,0,0,0,0
"76.txt",0.0967741935483871,0.142857142857143,0.0425531914893617,0,0,0,0,0,0,0,0,0
"188.txt",0.129032258064516,0.285714285714286,0.127659574468085,0,0.5,0,0,0,0,0,0,0
"62.txt",0.145161290322581,0,0.191489361702128,0,0,0,0,0,0,0,0,0
"89.txt",0.032258064516129,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"177.txt",0.112903225806452,0,0.148936170212766,0,0,0,0,0,0,0,0,0
"163.txt",0.580645161290323,0,0.25531914893617,0,0,0,0.333333333333333,0,0,0,0,0
"162.txt",0.032258064516129,0,0.0425531914893617,0,0,0,0,0,0,0,0,0
"88.txt",0.516129032258065,0.714285714285714,0.234042553191489,0,0,0,0.333333333333333,0,0,0,0.5,0
"176.txt",0.0645161290322581,0,0.0851063829787234,0,0,0,0,0,0,0,0,0
