filename,MLC,C_S,DC_C,CT_T,CP_C,CN_C
17834.txt,0.175781249945068,0.048382126372881,0.279411764738754,0.363636364,0.125,0.163043478232514
17836.txt,0.317307692244591,0.20451977399322,0.515837104648922,0.666666667,0.076923077,0.361204013154573
17837.txt,0.16406249994873,0.273220338983051,0.598739496188087,0.857142857,0.107142857,0.298136645687281
17838.txt,0.233035714239676,0.105084745762712,0.447058823582007,0.333333333,0.114285714,0.253416149173319
17839.txt,0.351562499890137,0.059887005667797,0.391176470634256,0.461538462,0.05,0.078260869551607
17840.txt,0.249999999953125,0.050847457627119,0.165577341901833,0.2,0.240740741,0.212560386223903
17841.txt,0.426562499866699,0.068104776569492,0.61470588242526,0.636363636,0.15,0.286956521689225
17842.txt,0.224999999929688,0.12445520580339,0.447058823582007,0.5,0,0.313043478206427
17843.txt,0.26041666660612,0.102619414508475,0.558823529477509,0.714285714,0.166666667,0.415458936971225
17844.txt,0.121323529368336,0.071939736352542,0.394463667340525,0.363636364,0,0.337595908115201
17845.txt,0.181451612849546,0.137627118644068,0.540796964298917,0.636363636,0.064516129,0.185133239967803
17846.txt,0.497596153719501,0.047834274928814,0.257918552324461,0.1,0.153846154,0.441471571749309
17847.txt,0.320913461430964,0.097688751945763,0.343891403099281,0.529411765,0.153846154,0.280936454559837
17849.txt,0.223557692273888,0.110508474576271,0.472850678702688,0.533333333,0.153846154,0.260869565172023
17850.txt,0.515624999838867,0.213559322033898,0.558823529477509,0.833333333,0.666666667,0.521739130344045
17851.txt,0.190732758596646,0.074350282467797,0.231237322850734,0.25,0.206896552,0.143928035974969
17852.txt,0.45072115373415,0.052442672,0.300904977153048,0.227272727,0.346153846,0.341137123766759
17853.txt,0.443181818017756,0.04406779661017,0.304812834565272,0.285714286,0.272727273,0.569169960422753
17854.txt,0.184475806348601,0.109604519755932,0.468690702466905,0.625,0.096774194,0.185133239967803
17856.txt,0.310855263090358,0.055367231620339,0.294117647387543,0.416666667,0.105263158,0.356979404807482
17857.txt,0.261718749949463,0.11412429380339,0.651960784017878,0.8,0.083333333,0.326086956465028
17858.txt,0.265086206823411,0.067796610169492,0.462474644583821,0.705882353,0.137931034,0.287856071949938
17859.txt,0.409090908997159,0.077966101694915,0.355614973100661,0.466666667,0.136363636,0.332015810029215
17860.txt,0.187499999941406,0.107170795281356,0.406417112753696,0.571428571,0,0.300395256991236
17861.txt,0.153749999951953,0.240677966101695,0.849411764805813,1,0.04,0.187826086923856
17862.txt,0.193014705783433,0.071939736352542,0.525951556826583,0.555555556,0,0.306905370729234
17863.txt,0.437499999894531,0.077966101694915,0.931372548756632,0.666666667,0.166666667,0.347826087069943
17864.txt,0.396634615282302,0.110508474576271,0.601809954306095,0.8,0.384615385,0.280936454559837
17865.txt,0.492187499846192,0.085197740094915,0.523897058885164,0.5,0.21875,0.423913043404537
17867.txt,0.241071428455915,0.096045197722034,0.439075630463421,0.375,0,0.242236024653524
17868.txt,0.22995283014689,0.129190207132203,0.379578246985833,0.4,0.113207547,0.16735028710133
17869.txt,0.229166666553385,0.067118644067797,0.496732025705498,0.25,0.055555556,0.260869565172023
17870.txt,0.325657894679482,0.312994350264407,0.529411765297578,0.5,0.105263158,0.384439359063576
17871.txt,0.427989130272503,0.042871385816949,0.291560102093125,0.25,0.173913043,0.465028355397386
17872.txt,0.330357142771763,0.057105606237288,0.53221288500379,0.538461538,0.238095238,0.273291925517688
17873.txt,0.265624999885742,0.071186440677966,0.558823529477509,0.6,0.033333333,0.278260869342911
17874.txt,0.3342391303018,0.125423728813559,0.388746803163382,0.333333333,0.130434783,0.204158790225364
17875.txt,0.220982142774693,0.222598870074576,0.558823529477509,0.777777778,0.178571429,0.242236024653524
17876.txt,0.295898437407532,0.093462469749153,0.349264705923443,0.263157895,0.0625,0.260869565172023
17878.txt,0.224999999929688,0.059887005667797,0.502941176529758,0.461538462,0.1,0.208695652137618
17879.txt,0.343749999923828,0.034576271186441,0.372549019279123,0.25,0.166666667,0.434782608446125
17880.txt,0.492187499846192,0.062469733640678,0.46568627493714,0.571428571,0.083333333,0.565217391032136
