"filename","nwords","MLS","MLT","MLC","C_S","VP_T","C_T","DC_C","DC_T","T_S","CT_T","CP_T","CP_C","CN_T","CN_C"
"0.txt",328,20.5,13.6666666667,8.86486486486,2.3125,2.16666666667,1.54166666667,0.351351351351,0.541666666667,1.5,0.458333333333,0.458333333333,0.297297297297,0.666666666667,0.432432432432
"10.txt",105,35,15,7.5,4.66666666667,2.28571428571,2,0.285714285714,0.571428571429,2.33333333333,0.428571428571,0.714285714286,0.357142857143,0.857142857143,0.428571428571
"100.txt",200,16.6666666667,14.2857142857,8.33333333333,2,2.28571428571,1.71428571429,0.375,0.642857142857,1.16666666667,0.5,0.928571428571,0.541666666667,1,0.583333333333
"101.txt",178,25.4285714286,25.4285714286,10.4705882353,2.42857142857,4,2.42857142857,0.588235294118,1.42857142857,1,0.857142857143,0.714285714286,0.294117647059,2.28571428571,0.941176470588
"102.txt",176,17.6,17.6,9.26315789474,1.9,2.3,1.9,0.526315789474,1,1,0.7,0.2,0.105263157895,2.3,1.21052631579
"103.txt",208,20.8,14.8571428571,7.7037037037,2.7,2.64285714286,1.92857142857,0.444444444444,0.857142857143,1.4,0.5,0.428571428571,0.222222222222,1.35714285714,0.703703703704
"104.txt",229,16.3571428571,15.2666666667,10.4090909091,1.57142857143,2.26666666667,1.46666666667,0.272727272727,0.4,1.07142857143,0.266666666667,0.133333333333,0.0909090909091,2.06666666667,1.40909090909
"105.txt",280,10.3703703704,11.2,7.56756756757,1.37037037037,1.68,1.48,0.297297297297,0.44,0.925925925926,0.24,0.12,0.0810810810811,1.08,0.72972972973
"106.txt",287,20.5,17.9375,9.89655172414,2.07142857143,2.3125,1.8125,0.344827586207,0.625,1.14285714286,0.5,0.3125,0.172413793103,2.4375,1.34482758621
"107.txt",291,20.7857142857,16.1666666667,9.7,2.14285714286,2.38888888889,1.66666666667,0.4,0.666666666667,1.28571428571,0.611111111111,0.222222222222,0.133333333333,2.5,1.5
"108.txt",178,16.1818181818,13.6923076923,7.12,2.27272727273,2.61538461538,1.92307692308,0.44,0.846153846154,1.18181818182,0.769230769231,0.153846153846,0.08,1.53846153846,0.8
"109.txt",177,19.6666666667,17.7,6.80769230769,2.88888888889,3.5,2.6,0.576923076923,1.5,1.11111111111,0.8,0.2,0.0769230769231,1.5,0.576923076923
"11.txt",108,18,15.4285714286,8.30769230769,2.16666666667,2.42857142857,1.85714285714,0.384615384615,0.714285714286,1.16666666667,0.285714285714,0.428571428571,0.230769230769,1.57142857143,0.846153846154
"110.txt",287,17.9375,13.6666666667,7.97222222222,2.25,2.42857142857,1.71428571429,0.388888888889,0.666666666667,1.3125,0.380952380952,0.285714285714,0.166666666667,1.19047619048,0.694444444444
"111.txt",203,22.5555555556,20.3,7,3.22222222222,3.2,2.9,0.413793103448,1.2,1.11111111111,0.6,0.5,0.172413793103,2.3,0.793103448276
"112.txt",310,14.0909090909,13.4782608696,7.20930232558,1.95454545455,2.26086956522,1.86956521739,0.488372093023,0.913043478261,1.04545454545,0.652173913043,0.260869565217,0.139534883721,1.5652173913,0.837209302326
"113.txt",97,97,10.7777777778,5.38888888889,18,2.22222222222,2,0.388888888889,0.777777777778,9,0.333333333333,0.222222222222,0.111111111111,1.33333333333,0.666666666667
"114.txt",164,23.4285714286,16.4,8.63157894737,2.71428571429,2,1.9,0.368421052632,0.7,1.42857142857,0.6,0.5,0.263157894737,1.7,0.894736842105
"115.txt",170,15.4545454545,15.4545454545,7.08333333333,2.18181818182,2.45454545455,2.18181818182,0.458333333333,1,1,0.909090909091,0.454545454545,0.208333333333,2.18181818182,1
"116.txt",185,13.2142857143,11.5625,7.70833333333,1.71428571429,1.5625,1.5,0.333333333333,0.5,1.14285714286,0.375,0.4375,0.291666666667,1.1875,0.791666666667
"117.txt",203,40.6,40.6,8.82608695652,4.6,6.2,4.6,0.565217391304,2.6,1,1,0.6,0.130434782609,5.6,1.21739130435
"118.txt",205,17.0833333333,15.7692307692,12.0588235294,1.41666666667,2.07692307692,1.30769230769,0.411764705882,0.538461538462,1.08333333333,0.384615384615,0.538461538462,0.411764705882,1.69230769231,1.29411764706
"119.txt",125,62.5,41.6666666667,10.4166666667,6,5,4,0.416666666667,1.66666666667,1.5,1,1.66666666667,0.416666666667,5.33333333333,1.33333333333
"12.txt",172,9.05263157895,9.55555555556,5.73333333333,1.57894736842,2,1.66666666667,0.333333333333,0.555555555556,0.947368421053,0.277777777778,0,0,1,0.6
"120.txt",257,19.7692307692,18.3571428571,8.29032258065,2.38461538462,2.57142857143,2.21428571429,0.483870967742,1.07142857143,1.07692307692,0.571428571429,0.785714285714,0.354838709677,2.07142857143,0.935483870968
"121.txt",375,19.7368421053,19.7368421053,9.14634146341,2.15789473684,2.84210526316,2.15789473684,0.487804878049,1.05263157895,1,0.631578947368,0.368421052632,0.170731707317,1.57894736842,0.731707317073
"122.txt",200,100,25,10,10,3.375,2.5,0.5,1.25,4,0.75,0.375,0.15,3.875,1.55
"123.txt",243,15.1875,12.7894736842,7.36363636364,2.0625,2.05263157895,1.73684210526,0.363636363636,0.631578947368,1.1875,0.473684210526,0.210526315789,0.121212121212,1,0.575757575758
"124.txt",96,16,16,12,1.33333333333,2.33333333333,1.33333333333,0.25,0.333333333333,1,0.166666666667,0.333333333333,0.25,2,1.5
"125.txt",343,21.4375,20.1764705882,10.71875,2,2.29411764706,1.88235294118,0.40625,0.764705882353,1.0625,0.529411764706,0.588235294118,0.3125,2.52941176471,1.34375
"127.txt",70,7.77777777778,11.6666666667,7.77777777778,1,2,1.5,0.333333333333,0.5,0.666666666667,0.5,0.333333333333,0.222222222222,0.666666666667,0.444444444444
